name,url
"Адміністрування, державного управління та професійного розвитку інститут",https://lpnu.ua/iadu
Архітектури та дизайну інститут,https://lpnu.ua/iard
Будівництва та інженерних систем інститут,https://lpnu.ua/ibis
Геодезії інститут,https://lpnu.ua/igdg
Гуманітарних та соціальних наук інститут,https://lpnu.ua/ihsn
Економіки і менеджменту інститут,https://lpnu.ua/inem
Енергетики та систем керування інститут,https://lpnu.ua/iesk
Комп'ютерних наук та інформаційних технологій інститут,https://lpnu.ua/ikni
"Комп'ютерних технологій, автоматики та метрології інститут",https://lpnu.ua/ikta
Механічної інженерії та транспорту інститут,https://lpnu.ua/imit
"Права, психології та інноваційної освіти інститут",https://lpnu.ua/ippo
Прикладної математики та фундаментальних наук інститут,https://lpnu.ua/imfn
Просторового планування та перспективних технологій інститут,https://lpnu.ua/ippt
Сталого розвитку і ім. В.Чорновола інститут,https://lpnu.ua/istr
"Телекомунікацій, радіоелектроніки та електронної техніки інститут",https://lpnu.ua/itre
Хімії та хімічних технологій інститут,https://lpnu.ua/ikhkht
ВГА Кафедра вищої геодезії та астрономії,https://lpnu.ua/vha 
ІГД Кафедра інженерної геодезії,https://lpnu.ua/igd 
КГ Кафедра геодезії,https://lpnu.ua/kh 
КГМ Кафедра картографії та геопросторового моделювання,https://lpnu.ua/khm 
КДТ Кафедра кадастру територій,https://lpnu.ua/kdt 
ФГІ Кафедра фотограмметрії та геоінформатики,https://lpnu.ua/fhi 
АДМ Кафедра автомобільних доріг та мостів,https://lpnu.ua/adm 
АП Кафедра архітектурного проектування,https://lpnu.ua/ap 
АФМ Кафедра адміністративного та фінансового менеджменту,https://lpnu.ua/afm 
ЕЗІКТ Кафедра електронних засобів інформаційно-комп’ютерних технологій,https://lpnu.ua/ezikt 
ЕБПД Кафедра екологічної безпеки та природоохоронної діяльності,https://lpnu.ua/ebpd 
Проєкт «До вершин з РОШЕН»,https://lpnu.ua/do-vershyn-z-roshen 
ЕКМ Кафедра економіки і маркетингу,https://lpnu.ua/ekm 
